,0,1,2,3,4,5,6,7,8,9,10,11
0,1672531200000,16541.77000000,16544.76000000,16527.51000000,16535.38000000,486.60903000,1672531499999,8046638.38144730,14258,220.13975000,3640277.88516140,0
1,1672531500000,16534.91000000,16540.43000000,16522.55000000,16526.67000000,391.19043000,1672531799999,6467462.43432510,11944,189.61441000,3134879.21735500,0
2,1672531800000,16526.67000000,16530.87000000,16520.00000000,16520.69000000,294.73889000,1672532099999,4870445.53737180,11282,143.59637000,2372892.39973320,0
3,1672532100000,16521.26000000,16537.73000000,16517.72000000,16534.94000000,481.18777000,1672532399999,7951477.58749230,14060,260.25307000,4300613.86849020,0
4,1672532400000,16534.94000000,16540.66000000,16532.33000000,16535.54000000,309.53189000,1672532699999,5118776.84812870,10050,162.28132000,2683690.89180420,0
5,1672532700000,16535.54000000,16545.70000000,16534.62000000,16544.19000000,311.90922000,1672532999999,5159562.50826540,9418,165.82508000,2743070.15896200,0
6,1672533000000,16544.19000000,16544.61000000,16522.03000000,16527.83000000,394.57703000,1672533299999,6524077.11311440,13172,179.89403000,2974446.63711700,0
7,1672533300000,16527.27000000,16530.09000000,16508.39000000,16524.04000000,612.13471000,1672533599999,10112239.20290080,21043,312.38768000,5160637.18797780,0
8,1672533600000,16524.83000000,16525.25000000,16512.70000000,16515.43000000,358.94459000,1672533899999,5928976.01251780,14303,172.18068000,2844048.28524870,0
9,1672533900000,16515.91000000,16535.66000000,16515.43000000,16529.16000000,357.27214000,1672534199999,5904156.17948370,13517,193.37558000,3195614.40945150,0
10,1672534200000,16529.69000000,16533.79000000,16526.36000000,16531.84000000,176.35220000,1672534499999,2914951.29680820,8245,90.08633000,1489075.76644690,0
11,1672534500000,16531.84000000,16536.84000000,16528.94000000,16529.67000000,190.38780000,1672534799999,3147530.48486740,8562,90.31342000,1493106.16260930,0
12,1672534800000,16529.59000000,16537.66000000,16525.78000000,16531.02000000,421.67234000,1672535099999,6970928.64081920,12332,196.60044000,3250195.31040800,0
13,1672535100000,16530.39000000,16540.47000000,16530.31000000,16539.20000000,283.81866000,1672535399999,4693100.17522560,10820,144.11969000,2383102.45847140,0
14,1672535400000,16539.20000000,16541.80000000,16535.40000000,16538.21000000,271.75580000,1672535699999,4494647.51784920,9048,117.30279000,1940121.65952260,0
15,1672535700000,16537.68000000,16540.82000000,16534.00000000,16538.59000000,179.55931000,1672535999999,2969463.64717790,8745,86.55796000,1431473.54505740,0
16,1672536000000,16539.04000000,16539.95000000,16530.76000000,16536.22000000,272.68762000,1672536299999,4508844.00682050,9908,124.15907000,2053011.43899940,0
17,1672536300000,16536.22000000,16536.64000000,16531.79000000,16534.60000000,209.43828000,1672536599999,3462894.66051430,8964,91.78070000,1517534.60226660,0
18,1672536600000,16534.02000000,16535.72000000,16530.62000000,16532.00000000,176.68573000,1672536899999,2921120.36104040,7644,86.85008000,1435906.24794750,0
19,1672536900000,16531.74000000,16539.92000000,16530.75000000,16535.19000000,274.65824000,1672537199999,4541548.45202170,10419,139.86650000,2312742.10992060,0
20,1672537200000,16535.19000000,16543.38000000,16534.19000000,16539.94000000,341.34788000,1672537499999,5645977.44547120,12107,161.89940000,2677874.28723260,0
21,1672537500000,16539.94000000,16547.23000000,16538.03000000,16546.33000000,356.20818000,1672537799999,5892393.45093200,12338,191.16560000,3162307.37954160,0
22,1672537800000,16546.76000000,16547.90000000,16539.74000000,16545.91000000,323.84182000,1672538099999,5357792.97291880,11958,147.55574000,2441248.40533270,0
23,1672538100000,16545.91000000,16556.80000000,16544.92000000,16551.47000000,478.39283000,1672538399999,7918046.01381840,12273,242.39104000,4011898.56016390,0
24,1672538400000,16551.47000000,16551.53000000,16540.03000000,16541.43000000,364.03712000,1672538699999,6022868.56756110,11859,161.09475000,2665265.15684500,0
25,1672538700000,16541.86000000,16543.77000000,16540.02000000,16542.94000000,144.65810000,1672538999999,2392935.67191910,7025,72.60912000,1201115.89683400,0
26,1672539000000,16542.67000000,16551.59000000,16539.57000000,16549.03000000,394.40131000,1672539299999,6525084.10267460,11898,203.64862000,3369282.79818090,0
27,1672539300000,16549.02000000,16554.56000000,16547.80000000,16552.72000000,266.34461000,1672539599999,4408355.75573980,10072,134.17384000,2220760.14615540,0
28,1672539600000,16552.72000000,16553.75000000,16546.48000000,16548.18000000,324.69582000,1672539899999,5373493.07033070,10727,162.71256000,2692800.00141010,0
29,1672539900000,16547.96000000,16555.00000000,16546.82000000,16552.89000000,213.37761000,1672540199999,3531527.89537580,8022,111.83216000,1850897.35272980,0
30,1672540200000,16552.89000000,16559.61000000,16551.35000000,16558.65000000,308.75424000,1672540499999,5111720.19657350,10719,160.59176000,2658775.04609240,0
31,1672540500000,16558.49000000,16559.77000000,16548.20000000,16548.99000000,258.92701000,1672540799999,4286122.25227260,8679,111.08095000,1838805.05100030,0
32,1672540800000,16549.50000000,16550.37000000,16538.38000000,16538.77000000,311.94753000,1672541099999,5160943.93070360,10573,124.20836000,2054962.18002630,0
33,1672541100000,16538.77000000,16547.01000000,16538.14000000,16546.22000000,244.76672000,1672541399999,4049448.29703870,9336,133.38812000,2206784.66571650,0
34,1672541400000,16546.22000000,16547.24000000,16544.54000000,16546.33000000,309.26629000,1672541699999,5117123.42697630,9689,145.37184000,2405360.87456360,0
35,1672541700000,16545.77000000,16549.12000000,16545.01000000,16548.19000000,177.66402000,1672541999999,2939830.20845550,6799,90.41094000,1496058.69818220,0
36,1672542000000,16548.19000000,16548.19000000,16523.34000000,16529.36000000,910.83767000,1672542299999,15058614.45048100,22456,407.36381000,6734527.47785980,0
37,1672542300000,16529.36000000,16532.86000000,16526.00000000,16530.40000000,327.23296000,1672542599999,5409205.10989300,12144,168.68378000,2788419.98104650,0
38,1672542600000,16529.97000000,16531.43000000,16526.72000000,16527.87000000,321.35150000,1672542899999,5311712.03820180,12303,150.97650000,2495571.13354600,0
39,1672542900000,16527.44000000,16530.21000000,16518.21000000,16522.52000000,600.86304000,1672543199999,9928155.29023690,16985,275.54909000,4553033.30537980,0
40,1672543200000,16522.53000000,16533.09000000,16521.81000000,16528.72000000,416.27217000,1672543499999,6879870.27427680,13936,230.07087000,3802494.19066210,0
41,1672543500000,16528.28000000,16531.30000000,16527.31000000,16529.89000000,236.24307000,1672543799999,3904948.69748950,9309,119.79295000,1980130.52201100,0
42,1672543800000,16529.89000000,16534.66000000,16526.74000000,16533.77000000,276.83240000,1672544099999,4576203.61266370,9482,147.66821000,2441088.71509740,0
43,1672544100000,16533.76000000,16537.17000000,16532.04000000,16536.83000000,242.59628000,1672544399999,4011033.54779260,8350,140.23934000,2318717.23813990,0
44,1672544400000,16536.83000000,16537.42000000,16531.55000000,16533.68000000,206.78322000,1672544699999,3418956.37972370,7937,106.48609000,1760651.20179510,0
45,1672544700000,16533.68000000,16534.92000000,16529.66000000,16532.56000000,198.81249000,1672544999999,3286752.40216420,7268,96.00582000,1587172.15867110,0
46,1672545000000,16532.56000000,16537.72000000,16529.53000000,16537.09000000,300.18477000,1672545299999,4962817.86905040,9661,161.91772000,2676950.87643710,0
47,1672545300000,16537.09000000,16537.37000000,16532.51000000,16533.04000000,204.07093000,1672545599999,3374272.26548080,7893,91.33869000,1510287.68448460,0
48,1672545600000,16533.04000000,16535.97000000,16531.60000000,16533.55000000,214.29744000,1672545899999,3543012.96807630,7632,97.07934000,1605057.34238450,0
49,1672545900000,16533.55000000,16535.30000000,16526.41000000,16527.15000000,391.74102000,1672546199999,6475662.93373190,11265,172.16774000,2846076.92916670,0
50,1672546200000,16526.74000000,16529.25000000,16524.57000000,16526.12000000,233.98809000,1672546499999,3867159.41200840,8357,124.25497000,2053610.42816570,0
51,1672546500000,16526.12000000,16530.25000000,16524.25000000,16527.43000000,327.65382000,1672546799999,5415238.74378610,9268,168.39606000,2783175.79452700,0
52,1672546800000,16527.43000000,16528.74000000,16516.49000000,16520.71000000,749.57637000,1672547099999,12384452.44992800,16939,369.94569000,6112308.24314960,0
53,1672547100000,16521.15000000,16523.53000000,16517.19000000,16518.59000000,334.10689000,1672547399999,5519824.11135920,10863,180.44913000,2981272.95151540,0
54,1672547400000,16518.31000000,16523.00000000,16517.58000000,16522.66000000,286.25888000,1672547699999,4728907.45860210,9389,160.16004000,2645836.48695750,0
55,1672547700000,16522.66000000,16525.95000000,16521.60000000,16525.58000000,280.02785000,1672547999999,4627139.77747890,10531,158.48176000,2618761.94730900,0
56,1672548000000,16525.58000000,16525.60000000,16518.62000000,16519.47000000,282.47214000,1672548299999,4667184.84142540,9062,127.38476000,2104763.12354120,0
57,1672548300000,16519.96000000,16520.51000000,16516.81000000,16517.43000000,296.49536000,1672548599999,4897690.52253860,10292,150.32316000,2483155.14443530,0
